Manufacture id,Hãng,Model id,Model,Màu,Ảnh
5,Kia,,Kia K5,Blue,https://kiavietnam.com.vn/storage/360/k5/xanh-du3/72-1.jpg
5,Kia,,Kia K5,White Pearl,https://kiavietnam.com.vn/storage/360/k5/trang-gwp/72-1.jpg
5,Kia,,Kia K5,Gray,https://kiavietnam.com.vn/storage/360/k5/xam-klg/72-1.jpg
5,Kia,,Kia K5,Dark Blue,https://kiavietnam.com.vn/storage/360/k5/xanh-d9b/72-1.jpg
101,Brilliance,329,Brilliance V7,Brown,https://img.tinbanxe.vn/webp/images/brilliance-v7/brilliance-v7-mau-cam.png
101,Brilliance,329,Brilliance V7,Black,https://img.tinbanxe.vn/webp/images/brilliance-v7/brilliance-v7-mau-den.png
101,Brilliance,329,Brilliance V7,White,https://img.tinbanxe.vn/webp/images/brilliance-v7/brilliance-v7-mau-trang.png
4,Hyundai,,Hyundai Creta,Typhoon Silver,https://www.drivestreak.com/wp-content/uploads/2022/05/226_typhoon-silver_c5c9d2.webp
4,Hyundai,,Hyundai Creta,Red Mulberry,https://www.drivestreak.com/wp-content/uploads/2022/05/228_red-mulberry_b84348.webp
4,Hyundai,,Hyundai Creta,Phantom Black,https://www.drivestreak.com/wp-content/uploads/2022/05/221_phantom_6e7076.webp
4,Hyundai,,Hyundai Creta,Green Deep Forest,https://www.drivestreak.com/wp-content/uploads/2022/05/225_deep-forest_3b494b.webp
4,Hyundai,,Hyundai Creta,Polar White,https://www.drivestreak.com/wp-content/uploads/2022/05/230_polar-white_d2d5dc.webp
4,Hyundai,,Hyundai Creta,Titan Grey,https://www.drivestreak.com/wp-content/uploads/2022/05/227_titan-gray_515258.webp
4,Hyundai,,Hyundai Creta,Lava Orange,https://www.drivestreak.com/wp-content/uploads/2022/05/223_lava-orange_ef5639.webp
4,Hyundai,,Hyundai Creta,Lava Orange Dual Tone,https://www.drivestreak.com/wp-content/uploads/2022/05/222_lava-orange-dual-tone_cf3e26.webp
4,Hyundai,,Hyundai Creta,Polar White Dual Tone,https://www.drivestreak.com/wp-content/uploads/2022/05/229_polar-white-dual-tone_eaebef.webp
6,Mazda,56,Mazda CX-5,Brown,https://www.mazda.co.za/globalassets/cars/cx-5/grades/2022/1000x525-2.2l-akera.png
36,Vinfast,276,Vinfast Fadil,Brahminy White,https://vinfasthochiminh.vn/wp-content/uploads/2021/01/fadil-brahminy-white-mau-trang-vinfastpro-vn.png
36,Vinfast,276,Vinfast Fadil,Desert Silver,https://vinfasthochiminh.vn/wp-content/uploads/2021/01/fadil-desat-silver-mau-bac-vinfastpro-vn.png
36,Vinfast,276,Vinfast Fadil,Action Orange,https://vinfasthochiminh.vn/wp-content/uploads/2021/01/fadil-action-orange-mau-cam-vinfastpro-vn.png
36,Vinfast,276,Vinfast Fadil,Mystique Red,https://vinfasthochiminh.vn/wp-content/uploads/2021/01/fadil-mistique-red-mau-do-vinfastpro-vn.png
36,Vinfast,276,Vinfast Fadil,Luxury Blue,https://vinfasthochiminh.vn/wp-content/uploads/2021/01/fadil-luxury-blue-mau-xanh-vinfastpro-vn.png
36,Vinfast,276,Vinfast Fadil,Neptune Grey CL,https://vinfasthochiminh.vn/wp-content/uploads/2021/01/fadil-neptune-grey-mau-xam-vinfastpro-vn.png
3,Ford,,Ford Ranger XLS,Grey,https://saigonford.com.vn/public/upload/images/hinhsanpham/ranger-xls-22l-4x2-at-37471606798945.png
3,Ford,,Ford Ranger XLS,Blue,https://saigonford.com.vn/public/upload/images/hinhsanpham/ranger-xls-22l-4x2-at-78241606798952.png
3,Ford,,Ford Ranger XLS,Black,https://saigonford.com.vn/public/upload/images/hinhsanpham/ranger-xls-22l-4x2-at-31311606798953.png
3,Ford,,Ford Ranger XLS,Red,https://saigonford.com.vn/public/upload/images/hinhsanpham/ranger-xls-22l-4x2-at-24801606798953.png
3,Ford,,Ford Ranger XLS,Silver,https://saigonford.com.vn/public/upload/images/hinhsanpham/ranger-xls-22l-4x2-at-77591606798954.png
3,Ford,,Ford Ranger XLS,Blue,https://saigonford.com.vn/public/upload/images/hinhsanpham/ranger-xls-22l-4x2-at-59601606798954.png
3,Ford,,Ford Ranger XLS,White,https://saigonford.com.vn/public/upload/images/hinhsanpham/ranger-xls-22l-4x2-at-39921606798955.png
3,Ford,,Ford Ranger XLS,Brown,https://saigonford.com.vn/public/upload/images/hinhsanpham/ranger-xls-22l-4x2-at-59311606798956.png
3,Ford,,Ford Ranger XLS,Sunset Red,https://saigonford.com.vn/public/upload/images/hinhsanpham/ranger-xls-22l-4x2-at-13191606798956.png
