Manufacture id,Hãng,Model id,Model,Màu,Ảnh,Fuel
4,Hyundai,,Hyundai Custin,Blue,https://hyundai-mientrung.com/wp-content/uploads/2023/11/hyundai-custin-c_001.jpg,92
4,Hyundai,,Hyundai Custin,Green,https://hyundai-mientrung.com/wp-content/uploads/2023/11/HYUNDAI-CUSIN-xanh-luc-bao-Vinh-Long.png,
4,Hyundai,,Hyundai Custin,Black,https://hyundai-mientrung.com/wp-content/uploads/2023/11/HYUNDAI-PALISADE-den-Vinh-Long-1.png,
4,Hyundai,,Hyundai Custin,White,https://hyundai-mientrung.com/wp-content/uploads/2023/11/HYUNDAI-PALISADE-trang-Vinh-Long-1.png,
4,Hyundai,,Hyundai Custin,Silver,https://hyundai-mientrung.com/wp-content/uploads/2023/11/HYUNDAI-PALISADE-xam-kim-loai-Vinh-Long-1.png,
,,,,,,
,MG,,ZS Standard,Black,https://mgvovankiet.vn/wp-content/uploads/2023/07/Xe-MG-ZS-Lux-mau-den-MG-Vo-Van-Kiet.png,
,MG,,ZS Standard,Red,https://mgvovankiet.vn/wp-content/uploads/2023/07/Xe-MG-ZS-Lux-mau-do-MG-Vo-Van-Kiet.png,
,MG,,ZS Standard,White,https://mgvovankiet.vn/wp-content/uploads/2023/07/Xe-MG-ZS-Lux-mau-trang-MG-Vo-Van-Kiet.png,
